Player,Batting,Bowling,Umpire
AD Nath,Right hand,Right arm pace,No
A Doddaballapur,Right hand,Right arm pace,No
AD Poynter,Right hand,Right arm off break,No
AD Presland,Right hand,Right arm pace,No
AD Russell,Right hand,Right arm pace,No
ADS Fletcher,Right hand,Right arm pace,No
AD Thomason,Right hand,Right arm pace,No
A Dutt,Right hand,Right arm pace,No
AE Dyson,Right hand,Right arm pace,No
AE Hall,Right hand,Right arm pace,No
AE Jones,Right hand,,No
AEN Riley,Right hand,Right arm off break,No
AE Paraam,Right hand,Left arm orthodox,No
AE Smith,Right hand,Right arm pace,No
AF Buurman,Right hand,,No
A Ferguson,Right hand,,No
AF Giles,Right hand,Left arm orthodox,No
AF Ifill,Right hand,Right arm leg break,No
A Flintoff,Right hand,Right arm pace,No
AF Milne,Right hand,Right arm pace,No
Afsar Zazai,Right hand,,No
Aftab Ahmed,Right hand,Right arm pace,No
Aftab Alam,Right hand,Right arm pace,No
Aftab Hussain,Right hand,Left arm orthodox,No
Aftab Kayani,Right hand,Right arm pace,No
Afzaal Ahmed,Right hand,Right arm pace,No
Afzaal Haider,Right hand,Right arm pace,No
Afzal Faiz,Right hand,Left arm orthodox,No
Afzal Pathan,Right hand,Right arm pace,No
A Galan,Right hand,Right arm pace,No
A Gardner,Right hand,Right arm off break,No
A Gavde,Right hand,Right arm off break,No
A Gbla,Right hand,Right arm pace,No
AG Cremer,Right hand,Right arm leg break,No
AG Dugmore,Right hand,,No
A Genford,Right hand,Right arm pace,No
AG Gerken,Right hand,Right arm pace,No
AG Gordon,Right hand,Right arm pace,No
AG Harriott,Right hand,,No
Agha Salman,Right hand,Right arm off break,No
AG Hurst,Right hand,Right arm pace,No
AG Milton,Right hand,Right arm leg break,No
A Gordon,Right hand,Right arm pace,No
AG Oxley,Right hand,Right arm off break,No
AG Paunikar,Right hand,,No
A Gqamane,Right hand,Right arm pace,No
AG Rao,Right hand,Right arm off break,No
A Griffiths,Right hand,Right arm pace,No
AGR Loudon,Right hand,Right arm off break,No
AG Salter,Right hand,Right arm off break,No
A Gurung,Right hand,Left arm pace,No
AG Wakely,Right hand,Right arm pace,No
AG Weligamage,Right hand,Right arm pace,No
AG Wharf,Right hand,Right arm pace,No
A Halbhavi,Right hand,,No
A Harikumar,Right hand,Right arm pace,No
A Hartley,Right hand,Left arm orthodox,No
A Hepburn,Right hand,,No
Ahmad Nasir,Right hand,Right arm pace,No
Ahmad Ramdoni,Right hand,,No
Ahmadschah Ahmadzai,Right hand,Right arm pace,No
AH Maqsood,Right hand,Right arm leg break,No
Ahmed Daniyal,Right hand,Right arm pace,No
Ahmed Faiz,Right hand,Right arm off break,No
Ahmed Hassan,Right hand,Right arm off break,No
Ahmed Mustafa,Right hand,Right arm pace,No
Ahmed Nadeem,Right hand,Right arm pace,No
Ahmed Raid,Right hand,Left arm orthodox,No
Ahmed Raza,Right hand,Left arm orthodox,No
Ahmed Shahab,Right hand,Right arm off break,No
Ahmed Shehzad,Right hand,Right arm leg break,No
Ahmed Wardak,Right hand,Left arm pace,No
A Hoilett,Right hand,Right arm off break,No
Ahram Jeong,Right hand,Right arm pace,No
Ahsan Abbasi,Right hand,Right arm off break,No
Ahsan Ali,Right hand,Right arm leg break,No
Ahsan Khan,Right hand,Right arm pace,No
Ahsan Malik,Right hand,Right arm pace,No
Ahsan Raza,Right hand,,No
AHT Donald,Right hand,Right arm off break,No
AH Thomson,Right hand,Right arm leg break,No
A Hunter,Right hand,,No
A Husain,Right hand,Right arm off break,No
A Hutchinson,Right hand,Right arm pace,No
A Igbobie,Right hand,,No
Aijaz Ali,Right hand,Right arm pace,No
A Ikuzwe,Right hand,Right arm pace,No
Aima Aishath,Right hand,,No
AI MacKinlay,Right hand,Right arm pace,No
Aiman Anwer,Right hand,Right arm pace,No
Aina Najwa,Right hand,,No
Ainna Hamizah Hashim,Right hand,Right arm pace,No
Ainool Hafizs,Right hand,Right arm pace,No
Ainool Haqqiem,Right hand,,No
AI Ross,Right hand,Right arm off break,No
Aisha Rahman,Right hand,Right arm pace,No
Aisya Eleesa,Right hand,Right arm pace,No
Aizaz Cheema,Right hand,Right arm pace,No
Aizaz Khan,Right hand,Right arm pace,No
A Javid,Right hand,Right arm pace,No
AJA Wheater,Right hand,,No
AJ Ayannaike,Right hand,,No
AJ Ball,Right hand,Left arm pace,No
AJ Bichel,Right hand,Right arm pace,No
AJ Blackwell,Right hand,Right arm pace,No
AJ Burger,Right hand,Right arm leg break,No
AJ Crosthwaite,Right hand,Right arm leg break,No
AJ Doolan,Right hand,,No
AJ Drummond,Right hand,Right arm off break,No
AJ Finch,Right hand,Left arm orthodox,No
AJ Freeborn,Right hand,,No
AJ Gregory,Right hand,Right arm pace,No
AJ Hall,Right hand,Right arm pace,No
AJ Healy,Right hand,,No
AJ Hodd,Right hand,,No
AJ Hose,Right hand,Right arm pace,No
AJ Ireland,Right hand,Right arm pace,No
AJ Kenealy,Right hand,Right arm pace,No
AJL Baum,Right hand,,No
AJ Macleod,Right hand,Right arm off break,No
AJ McKay,Right hand,Left arm pace,No
AJ Michael,Right hand,Right arm pace,No
AJ Nair,Right hand,Right arm off break,No
A Johnmary,Right hand,,No
AJ Pycroft,Right hand,Right arm off break,No
AJ Redmond,Right hand,Right arm leg break,No
AJ Robson,Right hand,Right arm leg break,No
AJ Rout,Right hand,Right arm pace,No
AJ Staal,Right hand,Right arm leg break,No
AJ Swann,Right hand,Right arm off break,No
AJ Turner,Right hand,Right arm off break,No
AJ Tye,Right hand,Right arm pace,No
A Kanada,Right hand,,No
A Kano,Right hand,,No
A Kansonkho,Right hand,Right arm pace,No
A Kapil,Right hand,Right arm pace,No
A Karn,Right hand,Left arm pace,No
Akash Singh,Right hand,Left arm pace,No
Akbar-ur-Rehman,Right hand,Right arm leg break,No
A Keefe,Right hand,Right arm pace,No
Akeem Jordan,Right hand,Right arm pace,No
AK Gokoel,Right hand,Right arm pace,No
A Khaka,Right hand,Right arm pace,No
A Khan,Right hand,Right arm pace,No
A Kheterpal,Right hand,Right arm pace,No
Akhtar Ahmad,Right hand,Right arm off break,No
Akif Javed,Right hand,Left arm pace,No
A King,Right hand,Right arm leg break,No
A Kirschbaum,Right hand,Right arm off break,No
AK Kitchen,Right hand,Left arm orthodox,No
AK Mandal,Right hand,,No
AK Markram,Right hand,Right arm off break,No
AK Mitra,Right hand,Right arm off break,No
AK Mohan,Right hand,Right arm off break,No
AK Muslar,Right hand,Right arm pace,No
A Kolan,Right hand,,No
A Kone,Right hand,Right arm pace,No
AK Perera,Right hand,Left arm orthodox,No
Akram Raza,Right hand,Right arm off break,No
A Krishna,Right hand,Right arm leg break,No
AK Sah,Right hand,Right arm off break,No
AKS Bains,Right hand,,No
Akshay Homraj,Right hand,,No
AK Shukla,Right hand,Right arm pace,No
A Kumble,Right hand,Right arm leg break,No
AKV Tyrone,Right hand,Right arm off break,No
Alamgir Kabir,Right hand,Right arm pace,No
Al-Amin,Right hand,Right arm off break,No
Al-Amin Hossain,Right hand,Right arm pace,No
A Lanning,Right hand,Right arm off break,No
Alauddin Babu,Right hand,Right arm pace,No
AL Casime,Right hand,Right arm pace,No
AL Davies,Right hand,,No
A Learoyd,Right hand,Right arm leg break,No
A le Breton,Right hand,Right arm pace,No
AL Edgar,Right hand,Right arm pace,No
Aleem Dar,Right hand,Right arm leg break,No
Aleena Khan,Right hand,Right arm off break,No
Alex J Jones,Right hand,Left arm pace,No
AL Fekete,Right hand,Right arm pace,No
AL Hodgkinson,Right hand,Right arm leg break,No
AL Hughes,Right hand,Right arm pace,No
Ali Abbas,Right hand,Right arm pace,No
Ali Asad,Right hand,Right arm pace,No
Ali Bushahri,Right hand,Right arm pace,No
